1	260444	ADJ_the	-5(16876) -4(27612) -3(17190) -2(15728) -1(65980) 1(5277) 2(24936) 3(42042) 4(27738) 5(17065)
2	236932	ADJ_be	-5(14763) -4(25621) -3(25122) -2(44141) -1(60767) 1(3823) 2(16610) 3(18517) 4(17010) 5(10558)
3	194557	ADJ_to	-5(12384) -4(21821) -3(25853) -2(26241) -1(7788) 1(37669) 2(18935) 3(15129) 4(17044) 5(11693)
4	142013	ADJ_and	-5(11143) -4(16641) -3(15297) -2(13831) -1(15549) 1(15183) 2(19193) 3(12141) 4(13370) 5(9665)
5	110787	ADJ_of	-5(7638) -4(10012) -3(8605) -2(19656) -1(8815) 1(5903) 2(25259) 3(7197) 4(10525) 5(7177)
6	107734	ADJ_a	-5(6204) -4(10398) -3(8404) -2(12165) -1(44988) 1(1268) 2(4358) 3(7807) 4(7382) 5(4760)
7	80614	ADJ_in	-5(4879) -4(7735) -3(6283) -2(14766) -1(5848) 1(7385) 2(12282) 3(7985) 4(8147) 5(5304)
8	80171	ADJ_for	-5(3830) -4(6284) -3(5234) -2(15811) -1(5885) 1(9653) 2(13870) 3(7740) 4(7682) 5(4182)
9	59716	ADJ_have	-5(4935) -4(7876) -3(9223) -2(16536) -1(4172) 1(699) 2(4036) 3(4819) 4(4221) 5(3199)
10	58820	ADJ_that	-5(6799) -4(9462) -3(7061) -2(5980) -1(2259) 1(6023) 2(7069) 3(5733) 4(4758) 5(3676)
11	49768	ADJ_I	-5(7275) -4(10754) -3(10902) -2(5977) -1(996) 1(1820) 2(4362) 3(3191) 4(2427) 5(2064)
12	47538	ADJ_on	-5(2694) -4(4151) -3(3614) -2(11100) -1(2627) 1(3463) 2(7276) 3(4704) 4(4791) 5(3118)
13	45876	ADJ_you	-5(3909) -4(7157) -3(10991) -2(6174) -1(1775) 1(1424) 2(4285) 3(4191) 4(3546) 5(2424)
14	45468	ADJ_with	-5(2629) -4(4805) -3(3574) -2(9016) -1(3561) 1(4168) 2(5783) 3(4874) 4(4442) 5(2616)
15	41041	ADJ_this	-5(2600) -4(5283) -3(4968) -2(2406) -1(2963) 1(1480) 2(5121) 3(7864) 4(6253) 5(2103)
16	34822	ADJ_we	-5(3423) -4(6488) -3(6114) -2(3198) -1(747) 1(1627) 2(4323) 3(3633) 4(2922) 5(2347)
17	34082	ADJ_as	-5(2195) -4(3432) -3(3761) -2(3911) -1(5925) 1(3270) 2(3065) 3(3320) 4(3148) 5(2055)
18	33434	ADJ_or	-5(2480) -4(2479) -3(3595) -2(4281) -1(3991) 1(4147) 2(3970) 3(2972) 4(3491) 5(2028)
19	32244	ADJ_will	-5(3109) -4(5037) -3(6601) -2(5796) -1(824) 1(491) 2(2931) 3(3120) 4(2426) 5(1909)
20	29081	ADJ_it	-5(1910) -4(4578) -3(6333) -2(3777) -1(1671) 1(1188) 2(2193) 3(2896) 4(2317) 5(2218)
21	27138	ADJ_not	-5(2138) -4(3349) -3(3558) -2(4519) -1(5747) 1(287) 2(1173) 3(2190) 4(2738) 5(1439)
22	25897	ADJ_at	-5(1387) -4(2288) -3(1888) -2(4891) -1(996) 1(2085) 2(3824) 3(2995) 4(3771) 5(1772)
23	21977	ADJ_from	-5(1438) -4(1708) -3(1928) -2(3573) -1(1387) 1(1880) 2(3404) 3(2755) 4(2228) 5(1676)
24	20769	ADJ_your	-5(1265) -4(2683) -3(1403) -2(941) -1(3906) 1(434) 2(2596) 3(3728) 4(2836) 5(977)
25	19733	ADJ_would	-5(1774) -4(2751) -3(4234) -2(4503) -1(314) 1(280) 2(1693) 3(1648) 4(1396) 5(1140)
26	19415	ADJ_by	-5(1177) -4(2772) -3(1587) -2(2267) -1(1811) 1(1885) 2(1706) 3(2307) 4(2017) 5(1886)
27	18775	ADJ_an	-5(1296) -4(2135) -3(1137) -2(1475) -1(7895) 1(244) 2(724) 3(1513) 4(1457) 5(899)
28	17907	ADJ_our	-5(1140) -4(1914) -3(1114) -2(1124) -1(4407) 1(359) 2(1834) 3(3083) 4(1899) 5(1033)
29	17824	ADJ_if	-5(1407) -4(4652) -3(2735) -2(740) -1(1268) 1(2058) 2(1442) 3(1084) 4(1604) 5(834)
30	16758	ADJ_but	-5(1610) -4(2632) -3(2035) -2(1435) -1(496) 1(2407) 2(2294) 3(1373) 4(1211) 5(1265)
31	16397	ADJ_do	-5(1531) -4(2695) -3(2144) -2(2628) -1(726) 1(292) 2(2053) 3(1913) 4(1382) 5(1033)
32	16299	ADJ_they	-5(1311) -4(2660) -3(3019) -2(2017) -1(503) 1(775) 2(1372) 3(1620) 4(1542) 5(1480)
33	15522	ADJ_any	-5(815) -4(2134) -3(1332) -2(821) -1(5478) 1(260) 2(1229) 3(1270) 4(1317) 5(866)
34	15246	ADJ_get	-5(900) -4(1610) -3(1737) -2(3277) -1(1779) 1(218) 2(1992) 3(1500) 4(1324) 5(909)
